Year,AKGD,AKMS,AZNM,CAMX,ERCT,FRCC,HIMS,HIOA,MROE,MROW,NEWE,NWPP,NYCW,NYLI,NYUP,RFCE,RFCM,RFCW,RMPA,SPNO,SPSO,SRMV,SRMW,SRSO,SRTV,SRVC
2007,1357,567,1322,718,1321,1288,1428,1719,1789,1821,877,907,742,1497,722,1119,1745,1639,2013,1900,1715,1059,1880,1580,1628,1182
2009,1353,551,1258,695,1247,1242,1432,1690,1682,1721,772,865,643,1423,526,1001,1754,1607,1927,1918,1688,1057,1849,1401,1435,1095
2010,1328,474,1243,645,1285,1263,1410,1721,1702,1624,765,890,656,1409,576,1058,1722,1589,2003,1901,1669,1086,1913,1430,1468,1135
2012,1340,509,1217,686,1206,1187,1272,1672,1609,1506,676,703,734,1267,431,907,1658,1457,1925,1819,1624,1111,1807,1213,1413,986
2014,980,720,925,600,1207,1136,1000,1572,1762,1446,606,960,701,1266,386,877,1621,1462,1839,1667,1561,1079,1877,1209,1414,907
2016,1135,532,1103,557,1066,1068,1222,1767,1765,1311,592,689,670,1246,311,801,1344,1315,1447,1495,1319,885,1705,1151,1253,851
2018,1101,555,1080,524,984,984,1181,1775,1776,1313,554,676,628,1254,267,757,1389,1234,1347,1231,1233,902,1762,1086,1091,786
2019,1181,581,1006,478,917,909,1261,1801,1590,1163,519,757,583,1281,245,734,1258,1129,1314,1133,1058,851,1677,1024,1004,714
