Year,AKGD,AKMS,AZNM,CAMX,ERCT,FRCC,HIMS,HIOA,MROE,MROW,NEWE,NWPP,NYCW,NYLI,NYUP,RFCE,RFCM,RFCW,RMPA,SPNO,SPSO,SRMV,SRMW,SRSO,SRTV,SRVC
2018,451.045805,745.2195011,440.9287982,389.2208617,390.8571429,395.4444444,0,0,477.0453515,444.1043084,392.1188209,416.0956916,427.0099773,471.629932,384.8893424,385.6911565,401.046712,420.6249433,456.1668934,465.2562358,465.6888889,385.2104308,410.6136054,396.5750567,413.0848073,417.9328798
2019,477.8684807,766.7741497,429.6920635,386.1265306,398.4226757,388.5732426,0,0,438.9102041,423.2857143,376.6281179,413.3496599,412.4213152,507.168254,380.6444444,385.9129252,388.6662132,410.3333333,461.2199546,458.0675737,467.444898,388.5968254,407.2195011,408.2680272,396.7170068,404.2321995
2020,454.6213152,727.0884354,419.847619,406.7124717,395.739229,405.9310658,0,0,523.3696145,417.8045351,386.1283447,408.277551,403.1600907,510.5079365,381.2376417,387.3188209,408.4816327,414.3759637,473.6961451,456.4126984,455.5963719,401.7115646,418.6734694,405.1569161,391.3297052,401.9800454
